Дата операции,Референс проводки,Приход,Расход
2/25/2022 15:30,CRD_7XR5AV,0,670
2/25/2022 8:00,CRD_1HA4YW,0,4540
2/24/2022 20:00,CRD_5U864N,0,3723.69
2/24/2022 17:00,CRD_34S6UN,0,1987.4
2/24/2022 14:00,CRD_52V39N,0,325
2/24/2022 11:00,CRD_52H1NC,0,150
2/24/2022 8:00,B012402220267439,20000,0
2/23/2022 15:30,CRD_5UC451,0,2187.16
2/23/2022 8:00,CRD_3C92W5,0,279
2/22/2022 20:00,CRD_8V843U,0,1109
2/22/2022 17:00,CRD_8UY5FM,0,138
2/22/2022 14:00,CRD_6WB69K,0,140
2/22/2022 11:00,CRD_17971U,0,1097
2/22/2022 8:00,CRD_7E646M,0,120
2/21/2022 21:07,CRD_6837SB,0,230.42
2/21/2022 19:15,CRD_6TZ1K5,0,350
2/21/2022 17:22,CRD_18Z4V5,0,1995
2/21/2022 15:30,CRD_6R25C5,0,198
2/21/2022 13:37,CRD_49V449,0,200
2/21/2022 11:45,CRD_2KV3W5,0,1661.82
2/21/2022 9:52,C072102220079688,0,200
2/21/2022 8:00,A012102220009383,0,300
2/20/2022 19:15,CRD_50T4BW,0,1625.58
2/20/2022 15:30,CRD_4BA7BW,0,43
2/20/2022 11:45,CRD_90Z60Y,0,2731.25
2/20/2022 8:00,C162002220066659,0,215
2/19/2022 21:20,CRD_7RK7UT,0,380.1
2/19/2022 19:40,CRD_4253RM,0,8299
2/19/2022 18:00,CRD_9ZA4UK,0,1300
2/19/2022 16:20,CRD_8WU9YN,0,1060
2/19/2022 14:40,CRD_7Y84NK,0,400
2/19/2022 13:00,CRD_6XZ8MS,0,163
2/19/2022 11:20,CRD_4TB40M,0,139
2/19/2022 9:40,CRD_3ME7MS,0,1540
2/19/2022 8:00,C071902220042146,0,400
2/18/2022 21:07,CRD_9264B7,0,420
2/18/2022 19:15,CRD_8T87X6,0,100
2/18/2022 17:22,CRD_8NR3E5,0,1
2/18/2022 15:30,CRD_4NY9B8,0,254
2/18/2022 13:37,CRD_1ZS20C,0,12370
2/18/2022 11:45,B011802220448825,0,20000
2/18/2022 9:52,OP1ED222I000XPH3,0,33810
